Circuit id, L, Expr, Ent, Time
==============================

1-preh,1,0.6772,0.0000,11.769
1-preh,2,0.3688,0.0000,14.146
1-preh,3,0.2756,0.0000,16.094
1-preh,4,0.2317,0.0000,17.623
2-preh,1,0.6150,0.6210,11.042
2-preh,2,0.0463,0.6868,14.942
2-preh,3,0.0463,0.7719,16.897
2-preh,4,0.0430,0.8065,21.597
3-preh,1,0.1101,0.6189,17.506
3-preh,2,0.0349,0.5833,22.368
3-preh,3,0.0375,0.6567,26.561
3-preh,4,0.0357,0.6974,30.707
4-preh,1,0.2082,0.3315,19.026
4-preh,2,0.0709,0.4606,26.427
4-preh,3,0.0580,0.5726,32.618
4-preh,4,0.0431,0.6304,36.188
5-preh,1,0.0395,0.8792,25.326
5-preh,2,0.0339,0.8383,39.759
5-preh,3,0.0323,0.8278,57.868
5-preh,4,0.0364,0.8247,79.809
6-preh,1,0.0578,0.7156,29.137
6-preh,2,0.0344,0.8028,48.693
6-preh,3,0.0436,0.8216,74.186
6-preh,4,0.0344,0.8235,92.951
7-preh,1,0.0572,0.5781,18.006
7-preh,2,0.0465,0.6078,26.872
7-preh,3,0.0368,0.6601,30.717
7-preh,4,0.0350,0.6932,37.631
8-preh,1,0.1224,0.3596,17.034
8-preh,2,0.0498,0.4912,27.665
8-preh,3,0.0311,0.5740,34.256
8-preh,4,0.0487,0.6307,41.042
9-preh,1,0.6775,0.0000,11.367
9-preh,2,0.3916,0.3144,14.289
9-preh,3,0.3143,0.4556,15.257
9-preh,4,0.2636,0.5541,19.935
10-preh,1,0.6912,1.0000,9.658
10-preh,2,0.2804,0.8727,12.249
10-preh,3,0.2380,0.8140,14.894
10-preh,4,0.1705,0.7792,19.775
11-preh,1,0.1671,0.5409,16.712
11-preh,2,0.0653,0.6695,16.932
11-preh,3,0.0384,0.7459,20.778
11-preh,4,0.0278,0.7805,23.649
12-preh,1,0.1669,0.3996,11.863
12-preh,2,0.0716,0.5747,16.450
12-preh,3,0.0319,0.6735,20.352
12-preh,4,0.0364,0.7142,23.565
13-preh,1,0.0905,0.3987,19.249
13-preh,2,0.0321,0.6257,28.614
13-preh,3,0.0411,0.7291,37.739
13-preh,4,0.0325,0.7794,48.263
14-preh,1,0.0385,0.5406,28.013
14-preh,2,0.0400,0.7328,40.299
14-preh,3,0.0341,0.7894,62.035
14-preh,4,0.0386,0.8073,66.115
15-preh,1,0.2252,0.6980,13.795
15-preh,2,0.2093,0.7584,18.206
15-preh,3,0.1663,0.7703,21.651
15-preh,4,0.1637,0.7798,27.377
16-preh,1,0.0785,0.6254,14.537
16-preh,2,0.0415,0.5876,21.613
16-preh,3,0.0470,0.6593,29.274
16-preh,4,0.0309,0.6886,33.125
17-preh,1,0.2269,0.3515,17.619
17-preh,2,0.0600,0.4696,24.391
17-preh,3,0.0555,0.5788,30.227
17-preh,4,0.0280,0.6360,37.816
18-preh,1,0.0394,0.7449,16.840
18-preh,2,0.0300,0.7154,25.391
18-preh,3,0.0384,0.7805,30.731
18-preh,4,0.0356,0.7937,36.142
19-preh,1,0.1108,0.4297,20.959
19-preh,2,0.0501,0.6148,28.035
19-preh,3,0.0321,0.7108,34.853
19-preh,4,0.0436,0.7608,43.297
